Estación,Título,latitud,longitud,Fecha,Periodo,xx1,xx2,xx3
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,24,5,6,103
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,23,17,6,143
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,22,17,5,64
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,21,7,5,23
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,20,16,7,91
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,19,9,5,33
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,18,9,7,100
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,17,18,7,137
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,16,4,7,36
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,15,17,7,91
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,14,12,5,110
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,13,1,6,100
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,12,12,5,86
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,11,16,5,62
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,10,8,7,146
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,9,17,5,142
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,8,15,5,65
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,7,2,5,71
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,6,16,5,99
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,5,8,7,27
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,4,7,7,47
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,3,9,5,61
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,2,12,7,94
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-10,1,15,6,71
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,24,15,5,60
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,23,17,7,94
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,22,5,7,135
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,21,1,7,58
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,20,13,6,152
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,19,17,7,51
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,18,4,6,22
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,17,6,6,53
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,16,7,7,27
1,Estación Avenida Constitución,43.529806,-5.673428,2020-12-09,15,12,6,21
